merchant_id,merchant_name,merchant_location,currency
2001,Merchant 1,San Jose,USD
2002,Merchant 2,Houston,USD
2003,Merchant 3,Houston,USD
2004,Merchant 4,San Diego,USD
2005,Merchant 5,San Diego,USD
2006,Merchant 6,Indianapolis,USD
2007,Merchant 7,Philadelphia,USD
2008,Merchant 8,Austin,USD
2009,Merchant 9,Los Angeles,USD
2010,Merchant 10,Austin,USD
2011,Merchant 11,Chicago,USD
2012,Merchant 12,Indianapolis,USD
2013,Merchant 13,Houston,USD
2014,Merchant 14,Los Angeles,USD
2015,Merchant 15,Austin,USD
2016,Merchant 16,Charlotte,USD
2017,Merchant 17,Miami,USD
2018,Merchant 18,Denver,USD
2019,Merchant 19,San Antonio,USD
2020,Merchant 20,San Diego,USD
