transaction_id,account_id,tran_date,settle_date,merchant_id,transaction_type,amount_in_actual_currency,conversion_rate
1,1398,2024-10-17,2024-10-18,2425,Debit,102.71,1.06
2,1295,2024-11-16,2024-11-19,2585,Debit,259.76,1.06
3,1359,2024-01-05,2024-01-07,2283,Debit,467.78,1.06
4,2672,2024-03-05,2024-03-06,2148,Credit,32.15,0.91
5,2629,2024-11-30,2024-12-03,2049,Credit,424.74,0.93
6,2709,2024-02-19,2024-02-22,2971,Credit,22.92,1.08
7,2185,2024-03-13,2024-03-16,2882,Credit,169.7,1.07
8,1708,2024-10-25,2024-10-28,2563,Debit,86.8,0.95
9,1440,2024-02-03,2024-02-05,2281,Debit,229.19,1.0
10,2249,2024-12-27,2024-12-29,2461,Debit,54.09,0.9
11,2673,2024-10-22,2024-10-26,2333,Debit,291.63,0.9
12,1466,2024-03-21,2024-03-22,2768,Debit,275.06,0.95
13,1714,2024-12-04,2024-12-06,2365,Debit,71.02,1.09
14,2189,2024-04-21,2024-04-25,2261,Credit,247.7,1.04
15,1258,2024-11-28,2024-11-30,2177,Credit,241.35,0.93
16,2158,2024-06-05,2024-06-08,2876,Credit,72.5,0.99
17,2836,2024-10-26,2024-10-30,2621,Debit,183.73,0.96
18,2964,2024-03-27,2024-03-30,2198,Credit,69.81,1.05
19,2071,2024-05-22,2024-05-25,2503,Credit,436.95,0.93
20,1330,2024-07-23,2024-07-26,2629,Debit,43.15,0.99
21,1677,2024-12-04,2024-12-07,2952,Debit,93.87,1.04
22,2551,2024-01-16,2024-01-20,2131,Credit,184.19,1.08
23,1439,2024-02-06,2024-02-09,2558,Credit,63.13,0.97
24,2215,2024-03-10,2024-03-14,2338,Debit,38.74,1.0
25,1738,2024-12-03,2024-12-07,2616,Credit,329.29,1.1
26,1806,2024-08-07,2024-08-08,2943,Credit,257.68,1.0
27,1002,2024-10-06,2024-10-10,2591,Debit,383.08,1.07
28,2534,2024-03-22,2024-03-26,2601,Credit,157.19,0.95
29,1343,2024-11-17,2024-11-20,2989,Debit,260.53,0.95
30,1735,2024-08-10,2024-08-11,2661,Debit,15.1,1.03
31,2190,2024-01-14,2024-01-18,2053,Credit,187.87,1.02
32,1288,2024-12-23,2024-12-24,2938,Debit,393.29,0.92
33,1019,2024-05-15,2024-05-16,2992,Credit,427.72,0.93
34,2332,2024-12-22,2024-12-25,2608,Debit,168.36,1.0
35,2332,2024-04-29,2024-04-30,2687,Credit,286.24,1.09
36,1654,2024-07-03,2024-07-06,2442,Debit,282.26,1.06
37,2401,2024-07-14,2024-07-18,2290,Debit,246.6,1.08
38,1744,2024-10-02,2024-10-04,2781,Credit,101.44,1.0
39,1874,2024-07-01,2024-07-05,2427,Debit,123.6,1.06
40,2133,2024-04-04,2024-04-07,2894,Credit,343.27,0.96
41,1432,2024-02-07,2024-02-09,2562,Debit,323.93,0.93
42,1827,2024-03-29,2024-03-30,2607,Debit,47.43,0.93
43,1768,2024-10-11,2024-10-12,2765,Debit,181.2,0.95
44,1456,2024-12-21,2024-12-25,2776,Debit,360.41,0.91
45,2802,2024-05-24,2024-05-28,2342,Debit,413.38,0.96
46,2549,2024-06-17,2024-06-20,2902,Debit,50.36,1.1
47,1093,2024-05-18,2024-05-19,2574,Credit,192.84,0.95
48,2531,2024-07-04,2024-07-08,2667,Credit,460.99,1.05
49,1382,2024-10-15,2024-10-16,2762,Debit,397.08,1.01
50,1798,2024-06-19,2024-06-21,2910,Debit,169.85,1.09
51,1739,2024-06-05,2024-06-09,2507,Debit,454.19,1.03
52,1226,2024-02-04,2024-02-06,2596,Debit,62.48,0.99
53,1265,2024-12-16,2024-12-20,2796,Credit,214.55,1.03
54,1571,2024-11-05,2024-11-09,2538,Debit,460.51,0.9
55,2648,2024-06-01,2024-06-02,2353,Credit,397.77,0.91
56,2661,2024-11-20,2024-11-22,2124,Debit,385.77,1.0
57,2954,2024-09-18,2024-09-20,2395,Debit,209.45,1.0
58,1531,2024-08-17,2024-08-19,2884,Credit,469.29,0.92
59,2368,2024-07-24,2024-07-28,2959,Credit,213.25,0.94
60,1674,2024-11-07,2024-11-10,2771,Credit,394.25,1.04
61,2813,2024-03-13,2024-03-17,2929,Debit,153.73,0.91
62,1054,2024-06-16,2024-06-18,2251,Debit,377.91,1.05
63,1966,2024-08-10,2024-08-13,2948,Credit,281.88,1.06
64,1053,2024-06-06,2024-06-10,2373,Debit,134.49,1.0
65,2323,2024-02-02,2024-02-04,2822,Debit,93.0,0.99
66,2168,2024-09-30,2024-10-02,2090,Debit,414.04,1.02
67,2779,2024-10-23,2024-10-25,2032,Credit,368.7,1.01
68,1437,2024-07-13,2024-07-16,2887,Debit,98.79,0.93
69,2534,2024-12-27,2024-12-31,2731,Debit,419.83,1.08
70,2365,2024-09-05,2024-09-09,2011,Credit,203.75,1.08
71,1160,2024-03-02,2024-03-05,2339,Credit,342.68,1.01
72,1408,2024-11-30,2024-12-03,2964,Credit,237.29,1.06
73,2947,2024-10-05,2024-10-08,2339,Credit,287.38,0.97
74,2039,2024-11-16,2024-11-18,2121,Debit,244.51,1.01
75,1942,2024-09-25,2024-09-29,2984,Credit,432.05,0.93
76,1950,2024-06-13,2024-06-16,2959,Debit,260.43,1.01
77,2570,2024-05-27,2024-05-30,2328,Credit,71.0,1.09
78,1650,2024-12-04,2024-12-08,2848,Credit,174.52,1.08
79,1114,2024-11-22,2024-11-25,2282,Debit,108.51,0.98
80,2588,2024-10-31,2024-11-01,2085,Credit,122.06,0.91
