transaction_id,account_id,tran_date,settle_date,merchant_id,transaction_type,amount_in_actual_currency,conversion_rate,final_amount,amount_settled
1,1054,2024-03-02,2024-03-06,2013,Credit,66.34,0.95,63.02,66.34
2,1080,2024-08-10,2024-08-14,2014,Debit,376.98,0.97,365.67,376.98
3,1087,2024-05-22,2024-05-24,2009,Credit,97.44,0.99,96.47,97.44
4,1002,2024-07-13,2024-07-17,2005,Debit,209.82,0.95,199.33,209.82
5,1032,2024-03-13,2024-03-16,2018,Credit,272.47,0.95,258.85,272.47
6,1022,2024-02-18,2024-02-21,2001,Debit,166.5,1.06,176.49,166.5
7,1046,2024-11-03,2024-11-06,2012,Credit,316.26,1.05,332.07,316.26
8,1012,2024-06-14,2024-06-18,2003,Debit,184.5,0.95,175.28,184.5
9,1075,2024-07-05,2024-07-07,2002,Credit,77.47,0.99,76.7,77.47
10,1093,2024-03-17,2024-03-20,2015,Credit,332.38,1.02,339.03,332.38
11,1099,2024-10-22,2024-10-25,2014,Credit,393.75,0.9,354.38,393.75
12,1039,2024-03-15,2024-03-17,2017,Credit,411.06,1.03,423.39,411.06
13,1097,2024-01-18,2024-01-20,2013,Debit,63.47,1.02,64.74,63.47
14,1009,2024-12-22,2024-12-24,2009,Credit,99.84,0.96,95.85,99.84
15,1030,2024-03-11,2024-03-13,2011,Credit,496.73,1.0,496.73,496.73
16,1082,2024-03-31,2024-04-04,2014,Credit,84.11,0.99,83.27,84.11
17,1002,2024-02-01,2024-02-04,2001,Credit,360.71,0.91,328.25,360.71
18,1075,2024-02-01,2024-02-05,2003,Debit,298.89,0.98,292.91,298.89
19,1029,2024-08-18,2024-08-22,2019,Debit,272.5,1.01,275.23,272.5
20,1059,2024-05-10,2024-05-12,2010,Credit,11.99,0.94,11.27,11.99
21,1008,2024-08-06,2024-08-10,2005,Credit,160.43,0.91,145.99,160.43
22,1056,2024-02-16,2024-02-18,2011,Credit,139.11,1.02,141.89,139.11
23,1066,2024-03-06,2024-03-09,2006,Credit,48.12,1.01,48.6,48.12
24,1090,2024-09-09,2024-09-10,2009,Debit,360.45,1.0,360.45,360.45
25,1031,2024-05-13,2024-05-17,2013,Debit,139.12,0.9,125.21,139.12
26,1023,2024-11-21,2024-11-25,2008,Credit,340.39,0.91,309.75,340.39
27,1013,2024-10-01,2024-10-05,2008,Debit,70.06,1.05,73.56,70.06
28,1056,2024-05-24,2024-05-27,2015,Credit,232.16,0.98,227.52,232.16
29,1013,2024-07-26,2024-07-30,2015,Debit,217.02,0.93,201.83,217.02
30,1030,2024-07-01,2024-07-02,2018,Debit,317.38,0.9,285.64,317.38
31,1014,2024-06-21,2024-06-25,2009,Debit,289.67,1.06,307.05,289.67
32,1085,2024-04-09,2024-04-12,2020,Debit,337.65,0.94,317.39,337.65
33,1011,2024-03-12,2024-03-13,2014,Debit,71.28,1.09,77.7,71.28
34,1059,2024-12-26,2024-12-29,2008,Debit,97.84,1.0,97.84,97.84
35,1011,2024-05-03,2024-05-06,2007,Credit,272.31,0.93,253.25,272.31
36,1086,2024-10-07,2024-10-09,2018,Credit,360.11,1.03,370.91,360.11
37,1008,2024-10-17,2024-10-18,2008,Credit,181.72,0.93,169.0,181.72
38,1078,2024-08-19,2024-08-22,2016,Debit,349.79,1.01,353.29,349.79
39,1003,2024-03-07,2024-03-08,2011,Credit,138.03,1.07,147.69,138.03
40,1093,2024-02-17,2024-02-21,2020,Debit,354.87,1.08,383.26,354.87
41,1082,2024-02-17,2024-02-21,2009,Credit,477.47,1.06,506.12,477.47
42,1072,2024-11-13,2024-11-14,2009,Credit,425.73,0.96,408.7,425.73
43,1089,2024-01-05,2024-01-08,2005,Credit,457.43,1.03,471.15,457.43
44,1025,2024-12-17,2024-12-21,2007,Credit,355.35,0.97,344.69,355.35
45,1046,2024-09-09,2024-09-11,2003,Debit,192.59,1.0,192.59,192.59
46,1011,2024-06-21,2024-06-24,2020,Debit,373.75,1.06,396.18,373.75
47,1082,2024-03-16,2024-03-19,2010,Credit,422.33,1.07,451.89,422.33
48,1091,2024-03-25,2024-03-29,2001,Debit,15.19,0.97,14.73,15.19
49,1030,2024-07-09,2024-07-10,2014,Credit,316.74,1.08,342.08,316.74
50,1031,2024-05-29,2024-06-02,2006,Credit,181.79,0.95,172.7,181.79
51,1016,2024-03-15,2024-03-18,2004,Debit,117.96,1.09,128.58,117.96
52,1061,2024-10-03,2024-10-05,2013,Debit,54.03,1.08,58.35,54.03
53,1022,2024-06-03,2024-06-07,2005,Credit,142.79,1.08,154.21,142.79
54,1067,2024-05-31,2024-06-04,2019,Debit,330.46,1.04,343.68,330.46
55,1079,2024-12-27,2024-12-29,2010,Debit,218.58,0.95,207.65,218.58
56,1094,2024-09-09,2024-09-12,2018,Debit,58.89,1.04,61.25,58.89
57,1021,2024-10-06,2024-10-08,2018,Credit,255.51,0.98,250.4,255.51
58,1018,2024-10-20,2024-10-21,2009,Credit,200.21,0.97,194.2,200.21
59,1012,2024-06-24,2024-06-25,2001,Debit,385.9,1.05,405.2,385.9
60,1098,2024-09-03,2024-09-06,2012,Credit,62.33,0.94,58.59,62.33
61,1003,2024-04-24,2024-04-28,2010,Credit,460.07,1.09,501.48,460.07
62,1083,2024-05-01,2024-05-02,2016,Credit,122.47,1.09,133.49,122.47
63,1095,2024-01-29,2024-02-02,2001,Credit,391.96,0.93,364.52,391.96
64,1087,2024-05-18,2024-05-20,2005,Credit,494.88,1.04,514.68,494.88
65,1048,2024-06-30,2024-07-03,2011,Credit,40.18,0.91,36.56,40.18
66,1064,2024-09-23,2024-09-27,2009,Credit,21.48,1.0,21.48,21.48
67,1043,2024-08-07,2024-08-08,2018,Credit,289.93,0.93,269.63,289.93
68,1009,2024-12-05,2024-12-08,2007,Debit,21.87,1.08,23.62,21.87
69,1094,2024-08-31,2024-09-03,2007,Debit,88.51,0.93,82.31,88.51
70,1040,2024-04-26,2024-04-28,2017,Credit,489.82,1.08,529.01,489.82
71,1090,2024-08-26,2024-08-29,2009,Credit,450.94,1.09,491.52,450.94
72,1047,2024-03-30,2024-04-01,2013,Credit,56.98,1.01,57.55,56.98
73,1070,2024-12-10,2024-12-13,2020,Debit,234.07,1.07,250.45,234.07
74,1092,2024-05-20,2024-05-24,2020,Credit,136.29,0.92,125.39,136.29
75,1082,2024-05-05,2024-05-06,2013,Credit,242.2,0.96,232.51,242.2
76,1058,2024-11-09,2024-11-10,2007,Debit,470.4,0.96,451.58,470.4
77,1037,2024-06-22,2024-06-23,2011,Credit,134.07,1.02,136.75,134.07
78,1031,2024-06-24,2024-06-25,2010,Credit,355.13,0.98,348.03,355.13
79,1052,2024-12-06,2024-12-07,2019,Debit,283.41,0.91,257.9,283.41
80,1066,2024-08-31,2024-09-02,2016,Credit,60.56,1.08,65.4,60.56
81,1100,2024-12-23,2024-12-24,2018,Debit,342.52,1.02,349.37,342.52
82,1063,2024-02-17,2024-02-18,2003,Debit,291.45,0.98,285.62,291.45
83,1017,2024-03-17,2024-03-19,2015,Debit,460.86,1.0,460.86,460.86
84,1065,2024-08-06,2024-08-10,2001,Credit,156.64,1.0,156.64,156.64
85,1099,2024-05-16,2024-05-17,2020,Debit,139.58,0.95,132.6,139.58
86,1044,2024-06-02,2024-06-06,2008,Credit,101.3,1.01,102.31,101.3
87,1019,2024-02-02,2024-02-06,2007,Credit,254.76,0.9,229.28,254.76
88,1029,2024-02-09,2024-02-12,2009,Credit,470.52,0.99,465.81,470.52
89,1001,2024-04-06,2024-04-10,2018,Credit,143.19,1.08,154.65,143.19
90,1052,2024-05-15,2024-05-17,2020,Debit,33.07,0.93,30.76,33.07
91,1098,2024-04-28,2024-04-29,2013,Credit,305.61,1.07,327.0,305.61
92,1047,2024-03-29,2024-04-01,2008,Credit,95.46,0.99,94.51,95.46
93,1006,2024-01-12,2024-01-15,2004,Debit,389.04,0.95,369.59,389.04
94,1072,2024-07-13,2024-07-14,2007,Credit,193.0,0.98,189.14,193.0
95,1038,2024-01-16,2024-01-18,2015,Credit,103.64,0.95,98.46,103.64
96,1054,2024-08-28,2024-08-29,2015,Credit,487.15,1.06,516.38,487.15
97,1005,2024-12-04,2024-12-07,2018,Debit,85.21,0.97,82.65,85.21
98,1068,2024-03-03,2024-03-06,2010,Debit,196.54,1.06,208.33,196.54
99,1016,2024-04-17,2024-04-19,2005,Debit,425.97,1.02,434.49,425.97
100,1023,2024-05-14,2024-05-15,2007,Debit,54.54,1.02,55.63,54.54
101,1013,2024-05-15,2024-05-17,2002,Debit,213.04,0.92,196.0,213.04
102,1049,2024-11-16,2024-11-20,2002,Debit,226.92,0.98,222.38,226.92
103,1059,2024-08-15,2024-08-19,2016,Debit,478.45,0.97,464.1,478.45
104,1061,2024-03-01,2024-03-03,2012,Credit,163.79,0.99,162.15,163.79
105,1075,2024-06-17,2024-06-20,2003,Credit,132.81,1.08,143.43,132.81
106,1020,2024-10-06,2024-10-07,2003,Credit,472.39,1.05,496.01,472.39
107,1012,2024-12-16,2024-12-18,2003,Credit,122.41,0.96,117.51,122.41
108,1082,2024-02-07,2024-02-11,2018,Debit,116.8,1.09,127.31,116.8
109,1057,2024-12-28,2024-12-31,2008,Credit,145.63,0.91,132.52,145.63
110,1006,2024-02-19,2024-02-23,2010,Credit,177.91,0.95,169.01,177.91
111,1013,2024-05-27,2024-05-30,2011,Debit,428.85,1.1,471.74,428.85
112,1070,2024-12-14,2024-12-17,2018,Debit,360.26,0.95,342.25,360.26
113,1009,2024-04-19,2024-04-21,2009,Debit,355.56,1.09,387.56,355.56
114,1025,2024-11-13,2024-11-15,2010,Debit,229.74,0.9,206.77,229.74
115,1079,2024-01-31,2024-02-04,2002,Debit,286.27,1.1,314.9,286.27
116,1042,2024-09-01,2024-09-04,2007,Debit,118.75,0.97,115.19,118.75
117,1066,2024-10-02,2024-10-06,2010,Debit,150.67,1.04,156.7,150.67
118,1033,2024-06-04,2024-06-08,2002,Debit,285.33,0.9,256.8,285.33
119,1049,2024-11-02,2024-11-05,2019,Credit,455.36,1.07,487.24,455.36
120,1023,2024-12-07,2024-12-09,2014,Debit,100.11,0.91,91.1,100.11
121,1080,2024-11-13,2024-11-15,2014,Debit,171.81,1.07,183.84,171.81
122,1098,2024-03-08,2024-03-12,2009,Debit,76.27,1.02,77.8,76.27
123,1020,2024-11-30,2024-12-04,2017,Credit,106.98,1.06,113.4,106.98
124,1060,2024-04-14,2024-04-15,2011,Credit,72.34,1.06,76.68,72.34
125,1088,2024-04-05,2024-04-09,2012,Credit,150.08,0.96,144.08,150.08
126,1047,2024-03-31,2024-04-04,2012,Debit,166.46,1.1,183.11,166.46
127,1034,2024-10-30,2024-11-03,2020,Debit,336.6,0.97,326.5,336.6
128,1045,2024-10-30,2024-11-02,2011,Credit,481.66,1.08,520.19,481.66
129,1092,2024-01-19,2024-01-21,2019,Debit,470.48,0.99,465.78,470.48
130,1018,2024-05-31,2024-06-04,2011,Debit,412.27,0.92,379.29,412.27
131,1014,2024-10-20,2024-10-21,2006,Debit,191.17,1.04,198.82,191.17
132,1086,2024-04-30,2024-05-04,2006,Debit,210.55,0.95,200.02,210.55
133,1059,2024-03-29,2024-04-02,2004,Debit,119.23,0.9,107.31,119.23
134,1077,2024-01-23,2024-01-27,2012,Credit,472.82,0.94,444.45,472.82
135,1006,2024-07-14,2024-07-18,2003,Debit,477.65,0.97,463.32,477.65
136,1024,2024-09-05,2024-09-07,2016,Debit,314.47,1.06,333.34,314.47
137,1017,2024-05-22,2024-05-24,2010,Credit,310.45,1.03,319.76,310.45
138,1029,2024-05-24,2024-05-27,2009,Debit,310.17,0.97,300.86,310.17
139,1018,2024-04-17,2024-04-19,2014,Credit,381.65,0.96,366.38,381.65
140,1043,2024-08-10,2024-08-14,2002,Credit,355.49,0.9,319.94,355.49
141,1092,2024-02-18,2024-02-22,2006,Debit,393.22,0.98,385.36,393.22
142,1063,2024-02-25,2024-02-26,2012,Debit,413.74,1.07,442.7,413.74
143,1052,2024-12-12,2024-12-16,2001,Credit,133.54,0.97,129.53,133.54
144,1075,2024-02-26,2024-03-01,2001,Debit,160.94,0.91,146.46,160.94
145,1074,2024-03-25,2024-03-26,2008,Debit,251.43,0.96,241.37,251.43
146,1063,2024-03-20,2024-03-22,2013,Credit,489.97,1.0,489.97,489.97
147,1053,2024-05-02,2024-05-04,2008,Debit,496.67,1.08,536.4,496.67
148,1049,2024-05-03,2024-05-06,2002,Debit,127.36,1.08,137.55,127.36
149,1090,2024-01-12,2024-01-15,2009,Debit,267.4,0.96,256.7,267.4
150,1011,2024-09-27,2024-09-30,2017,Debit,333.44,0.97,323.44,333.44
151,1053,2024-08-07,2024-08-11,2011,Credit,437.5,0.96,420.0,437.5
152,1037,2024-03-01,2024-03-02,2009,Debit,336.12,1.0,336.12,336.12
153,1029,2024-02-02,2024-02-03,2014,Credit,332.47,1.04,345.77,332.47
154,1096,2024-01-15,2024-01-16,2015,Debit,322.26,0.93,299.7,322.26
155,1024,2024-12-03,2024-12-06,2004,Debit,324.25,0.96,311.28,324.25
156,1068,2024-03-03,2024-03-07,2003,Credit,339.34,0.91,308.8,339.34
157,1079,2024-12-05,2024-12-06,2014,Debit,33.11,1.06,35.1,33.11
158,1014,2024-09-06,2024-09-10,2010,Credit,169.65,1.06,179.83,169.65
159,1070,2024-01-02,2024-01-05,2006,Debit,89.33,1.1,98.26,89.33
160,1084,2024-10-09,2024-10-10,2018,Credit,259.37,0.98,254.18,259.37
161,1015,2024-06-02,2024-06-05,2003,Credit,267.0,0.9,240.3,267.0
162,1087,2024-05-17,2024-05-18,2006,Debit,265.69,1.01,268.35,265.69
163,1069,2024-10-18,2024-10-21,2017,Debit,148.89,1.08,160.8,148.89
164,1080,2024-06-29,2024-07-02,2018,Credit,233.78,1.09,254.82,233.78
165,1092,2024-06-10,2024-06-13,2009,Credit,182.96,1.02,186.62,182.96
166,1021,2024-04-21,2024-04-22,2016,Credit,250.73,0.9,225.66,250.73
167,1017,2024-08-30,2024-08-31,2002,Credit,23.96,1.04,24.92,23.96
168,1002,2024-11-05,2024-11-09,2015,Credit,261.64,1.09,285.19,261.64
169,1032,2024-06-22,2024-06-24,2014,Credit,287.39,1.06,304.63,287.39
170,1033,2024-06-14,2024-06-16,2011,Debit,321.11,1.06,340.38,321.11
171,1031,2024-12-04,2024-12-08,2001,Debit,295.21,1.06,312.92,295.21
172,1080,2024-03-01,2024-03-03,2012,Debit,247.68,0.97,240.25,247.68
173,1013,2024-05-07,2024-05-08,2002,Debit,152.09,1.0,152.09,152.09
174,1052,2024-07-13,2024-07-15,2004,Credit,94.94,1.06,100.64,94.94
175,1042,2024-04-11,2024-04-13,2008,Credit,448.75,0.99,444.26,448.75
176,1085,2024-03-08,2024-03-09,2004,Credit,158.31,1.1,174.14,158.31
177,1078,2024-05-20,2024-05-22,2014,Credit,442.07,1.01,446.49,442.07
178,1019,2024-05-21,2024-05-23,2001,Debit,267.36,0.92,245.97,267.36
179,1017,2024-08-28,2024-08-31,2015,Credit,344.6,0.92,317.03,344.6
180,1052,2024-05-09,2024-05-10,2016,Debit,307.25,1.1,337.98,307.25
181,1027,2024-02-16,2024-02-17,2009,Debit,142.74,1.05,149.88,142.74
182,1090,2024-03-03,2024-03-06,2011,Debit,75.86,1.06,80.41,75.86
183,1063,2024-06-14,2024-06-17,2007,Credit,69.16,1.08,74.69,69.16
184,1078,2024-08-21,2024-08-22,2013,Debit,181.36,1.04,188.61,181.36
185,1092,2024-05-15,2024-05-17,2005,Debit,48.07,0.93,44.71,48.07
186,1077,2024-10-05,2024-10-06,2007,Credit,99.05,1.08,106.97,99.05
187,1095,2024-04-25,2024-04-27,2011,Credit,276.54,1.02,282.07,276.54
188,1012,2024-12-09,2024-12-10,2004,Credit,198.46,1.02,202.43,198.46
189,1034,2024-12-18,2024-12-21,2014,Credit,258.92,1.03,266.69,258.92
190,1082,2024-02-08,2024-02-12,2005,Debit,420.28,0.93,390.86,420.28
191,1065,2024-06-27,2024-06-28,2020,Debit,128.48,0.97,124.63,128.48
192,1091,2024-05-23,2024-05-25,2001,Credit,49.65,1.09,54.12,49.65
193,1077,2024-01-25,2024-01-29,2013,Credit,159.77,0.97,154.98,159.77
194,1013,2024-04-10,2024-04-13,2001,Debit,153.73,0.95,146.04,153.73
195,1034,2024-06-14,2024-06-17,2017,Credit,272.24,0.91,247.74,272.24
196,1043,2024-11-06,2024-11-07,2015,Credit,336.65,0.97,326.55,336.65
197,1033,2024-03-04,2024-03-08,2012,Debit,342.0,1.0,342.0,342.0
198,1001,2024-12-06,2024-12-10,2020,Debit,72.0,1.09,78.48,72.0
199,1010,2024-12-21,2024-12-23,2005,Credit,393.13,1.02,400.99,393.13
200,1033,2024-08-24,2024-08-25,2006,Debit,437.95,1.04,455.47,437.95
201,1099,2024-09-25,2024-09-26,2003,Debit,378.01,0.95,359.11,378.01
202,1085,2024-04-22,2024-04-24,2011,Credit,302.66,1.09,329.9,302.66
203,1095,2024-12-06,2024-12-07,2001,Debit,152.84,1.09,166.6,152.84
204,1087,2024-04-16,2024-04-20,2012,Credit,453.67,0.92,417.38,453.67
205,1066,2024-02-26,2024-03-01,2020,Debit,365.66,1.09,398.57,365.66
206,1065,2024-12-01,2024-12-02,2005,Debit,299.19,0.9,269.27,299.19
207,1040,2024-03-05,2024-03-06,2013,Debit,368.68,0.98,361.31,368.68
208,1075,2024-11-10,2024-11-14,2015,Credit,311.79,0.98,305.55,311.79
209,1024,2024-07-19,2024-07-22,2012,Debit,75.25,0.95,71.49,75.25
210,1087,2024-11-14,2024-11-16,2002,Credit,70.23,0.94,66.02,70.23
211,1072,2024-09-20,2024-09-24,2019,Credit,199.97,1.0,199.97,199.97
212,1038,2024-10-26,2024-10-27,2012,Debit,148.69,1.04,154.64,148.69
213,1028,2024-05-23,2024-05-25,2015,Debit,119.97,1.01,121.17,119.97
214,1088,2024-02-08,2024-02-10,2015,Credit,478.62,1.1,526.48,478.62
215,1062,2024-01-22,2024-01-24,2008,Debit,443.25,1.04,460.98,443.25
216,1011,2024-03-07,2024-03-09,2018,Debit,433.69,0.95,412.01,433.69
217,1059,2024-05-06,2024-05-08,2020,Debit,361.38,1.04,375.84,361.38
218,1071,2024-07-16,2024-07-17,2015,Debit,283.63,1.03,292.14,283.63
219,1099,2024-05-24,2024-05-25,2002,Debit,238.18,1.03,245.33,238.18
220,1015,2024-10-21,2024-10-25,2002,Credit,20.66,1.06,21.9,20.66
221,1034,2024-04-13,2024-04-16,2013,Debit,466.04,1.07,498.66,466.04
222,1025,2024-01-07,2024-01-08,2018,Credit,456.75,0.98,447.62,456.75
223,1026,2024-07-17,2024-07-20,2005,Debit,495.66,0.91,451.05,495.66
224,1076,2024-07-05,2024-07-08,2020,Debit,261.32,0.97,253.48,261.32
225,1068,2024-03-05,2024-03-07,2018,Debit,257.87,0.94,242.4,257.87
226,1008,2024-04-17,2024-04-18,2002,Debit,197.9,0.92,182.07,197.9
227,1025,2024-08-24,2024-08-27,2003,Debit,27.77,0.95,26.38,27.77
228,1083,2024-11-17,2024-11-18,2020,Debit,488.68,0.94,459.36,488.68
229,1066,2024-04-03,2024-04-07,2009,Credit,85.16,0.94,80.05,85.16
230,1013,2024-12-30,2025-01-01,2014,Credit,23.19,0.94,21.8,23.19
231,1094,2024-04-03,2024-04-05,2003,Credit,172.29,0.92,158.51,172.29
232,1060,2024-03-08,2024-03-10,2011,Debit,174.31,0.92,160.37,174.31
233,1007,2024-01-21,2024-01-23,2020,Credit,386.06,0.91,351.31,386.06
234,1074,2024-12-08,2024-12-11,2018,Debit,68.3,1.07,73.08,68.3
235,1044,2024-01-31,2024-02-03,2008,Credit,445.76,1.06,472.51,445.76
236,1060,2024-02-01,2024-02-05,2013,Credit,308.78,1.0,308.78,308.78
237,1088,2024-10-04,2024-10-07,2008,Credit,257.46,1.03,265.18,257.46
238,1009,2024-03-07,2024-03-11,2001,Credit,456.15,1.02,465.27,456.15
239,1034,2024-08-29,2024-08-30,2020,Credit,186.43,0.96,178.97,186.43
240,1090,2024-11-24,2024-11-25,2016,Debit,173.97,0.99,172.23,173.97
241,1076,2024-08-16,2024-08-19,2009,Credit,385.14,1.01,388.99,385.14
242,1036,2024-11-03,2024-11-07,2014,Debit,286.61,1.04,298.07,286.61
243,1006,2024-08-03,2024-08-05,2017,Debit,187.11,1.07,200.21,187.11
244,1069,2024-08-20,2024-08-21,2005,Credit,382.49,1.04,397.79,382.49
245,1029,2024-07-31,2024-08-02,2018,Debit,61.06,1.07,65.33,61.06
246,1015,2024-05-01,2024-05-04,2005,Debit,57.86,0.94,54.39,57.86
247,1087,2024-01-01,2024-01-03,2007,Debit,303.26,0.95,288.1,303.26
248,1007,2024-02-02,2024-02-03,2012,Credit,354.06,1.0,354.06,354.06
249,1019,2024-07-28,2024-07-29,2003,Credit,261.22,0.98,256.0,261.22
250,1053,2024-10-23,2024-10-27,2017,Credit,298.87,1.07,319.79,298.87
251,1083,2024-07-27,2024-07-31,2009,Debit,453.15,1.06,480.34,453.15
252,1048,2024-08-15,2024-08-18,2015,Debit,131.17,1.08,141.66,131.17
253,1069,2024-02-04,2024-02-08,2002,Debit,82.13,0.9,73.92,82.13
254,1081,2024-02-29,2024-03-01,2001,Credit,477.53,1.1,525.28,477.53
255,1040,2024-08-07,2024-08-10,2004,Debit,125.15,0.92,115.14,125.15
256,1026,2024-07-22,2024-07-25,2016,Debit,116.53,1.04,121.19,116.53
257,1064,2024-04-17,2024-04-19,2007,Credit,246.49,1.01,248.95,246.49
258,1041,2024-01-07,2024-01-10,2015,Debit,190.15,0.97,184.45,190.15
259,1002,2024-06-02,2024-06-06,2003,Credit,388.77,0.99,384.88,388.77
260,1095,2024-02-19,2024-02-21,2018,Debit,357.76,1.05,375.65,357.76
261,1071,2024-09-23,2024-09-27,2007,Debit,427.83,0.93,397.88,427.83
